sequence_index,period_id,period_label,scheduled_period,scheduled_start,scheduled_finish,pattern_id,pattern_key,pattern_type,pit,mine_area,bench,phase,pushback,source_system,schedule_name,planned_loader,planned_truck_fleet,destination,estimated_tonnes,ore_tonnes,waste_tonnes,average_grade,contained_metal_t,recovered_metal_t,metal,hole_count,drill_metres_m,explosive_kg,powder_factor_kg_m3,powder_factor_kg_t,burden_m,spacing_m,hole_diameter_mm,target_p80_mm,predicted_p50_mm,predicted_p80_mm,predicted_p95_mm,hardness_index,hardness_factor,BWi_kWht,UCS_MPa,Axb,DWi_kWhm3,digability,primary_mineral_domain,primary_lithology,structure_domain,wet_fraction,area_m2,perimeter_m,centroid_x,centroid_y,density_tpm3,ore_fraction,haul_distance_m,truck_hours,loader_hours,drill_duration_hr,charge_duration_hr,load_haul_duration_hr,total_duration_hr,development_priority,access_priority,dependency_pattern_ids,risk_flags,data_quality_flags,geometry_flags,why
11,D06,Day 6,D06,2026-06-06T06:00:00Z,2026-06-06T15:00:00Z,8,A-185-08-08,Production,Site B / Pit A,Bench RL185 / BM v3,RL185-200,Demo Phase A,Pit A PB-01,Demo external scheduler,Demo external two-week balanced feed sequence,EX-01,Fleet A,Crusher direct feed,248196.015,222678.109,25517.906,1.303,2900.435,2421.536,Cu,102,1652.4,37997.006,0.482,0.153,7.0,8.0,229.0,142.905,128.784,207.723,321.958,0.551,1.096,20.925,149.752,45.099,7.433,hard,high_grade_core,mineralised_porphyry,background,0.439,5803.573,322.923,363511.496,6591808.824,2.851,0.897,1406.723,155.123,177.283,23.606,7.916,177.283,208.805,10,16,10,hard_digability;coarse_fragmentation_risk;wet_material_risk,,,Production pattern sequenced to maintain southern-to-northern bench progression and stable mill feed.
12,D06,Day 6,D06,2026-06-06T15:00:00Z,2026-06-07T00:00:00Z,13,A-185-08-13,Production,Site B / Pit A,Bench RL185 / BM v3,RL185-200,Demo Phase A,Pit A PB-01,Demo external scheduler,Demo external two-week balanced feed sequence,EX-01,Fleet A,Crusher direct feed,218251.154,218251.154,0.0,1.15,2509.623,2210.771,Cu,89,1441.8,33602.894,0.482,0.154,7.0,8.0,229.0,142.952,128.865,207.854,322.173,0.552,1.047,20.007,141.851,45.593,6.896,hard,high_grade_core,mineralised_porphyry,main_fault,0.111,5117.92,299.215,363689.644,6591807.712,2.843,1.0,1411.477,136.407,155.894,20.597,7.001,155.894,183.491,10,15,8,hard_digability;coarse_fragmentation_risk,,,Production pattern sequenced to maintain southern-to-northern bench progression and stable mill feed.
13,D07,Day 7,D07,2026-06-07T06:00:00Z,2026-06-07T15:00:00Z,16,A-185-08-16,Production,Site B / Pit A,Bench RL185 / BM v3,RL185-200,Demo Phase A,Pit A PB-01,Demo external scheduler,Demo external two-week balanced feed sequence,EX-01,Fleet A,ROM pad,107036.923,107036.923,0.0,0.831,889.458,467.195,Cu,49,793.8,18109.847,0.482,0.169,7.0,8.0,229.0,143.918,129.076,208.18,322.694,0.546,0.859,16.408,61.349,56.632,4.986,soft,high_grade_core,mineralised_porphyry,cross_fault,1.0,2778.171,244.224,363381.106,6591804.16,2.569,1.0,1424.649,66.898,76.455,11.34,3.773,76.455,91.568,10,14,13,coarse_fragmentation_risk;wet_material_risk,,,Production pattern sequenced to maintain southern-to-northern bench progression and stable mill feed.
14,D07,Day 7,D07,2026-06-07T15:00:00Z,2026-06-08T00:00:00Z,20,A-185-08-20,Production,Site B / Pit A,Bench RL185 / BM v3,RL185-200,Demo Phase A,Pit A PB-01,Demo external scheduler,Demo external two-week balanced feed sequence,EX-01,Fleet A,ROM pad,156453.866,84786.524,71667.342,0.637,540.141,450.381,Cu,68,1101.6,25325.866,0.482,0.162,7.0,8.0,229.0,144.849,128.928,207.96,322.344,0.539,1.037,19.81,126.88,45.8,6.506,medium,late_barren_intrusion,late_mafic_dyke,main_fault,0.189,3761.467,279.177,363813.067,6591809.668,2.773,0.542,1430.675,97.784,111.753,15.737,5.276,111.753,132.766,10,17,16,coarse_fragmentation_risk;domain:late_barren_intrusion,,,Production pattern sequenced to maintain southern-to-northern bench progression and stable mill feed.
15,D08,Day 8,D08,2026-06-08T06:00:00Z,2026-06-08T15:00:00Z,14,A-185-08-14,Production,Site B / Pit A,Bench RL185 / BM v3,RL185-200,Demo Phase A,Pit A PB-01,Demo external scheduler,Demo external two-week balanced feed sequence,EX-01,Fleet A,ROM pad,169884.303,169884.303,0.0,1.029,1748.708,1100.749,Cu,75,1215.0,28324.731,0.482,0.167,7.0,8.0,229.0,142.865,128.815,207.765,322.039,0.551,0.97,18.529,106.652,51.459,6.298,medium,high_grade_core,mineralised_porphyry,background,0.814,4228.155,268.233,363430.468,6591836.296,2.679,1.0,1428.492,106.178,121.346,17.357,5.901,121.346,144.604,10,18,20,coarse_fragmentation_risk;wet_material_risk,,,Production pattern sequenced to maintain southern-to-northern bench progression and stable mill feed.
16,D08,Day 8,D08,2026-06-08T15:00:00Z,2026-06-09T00:00:00Z,17,A-185-08-17,Production,Site B / Pit A,Bench RL185 / BM v3,RL185-200,Demo Phase A,Pit A PB-01,Demo external scheduler,Demo external two-week balanced feed sequence,EX-01,Fleet A,ROM pad,239015.771,205310.9,33704.871,0.905,1857.164,1604.007,Cu,98,1587.6,36733.711,0.482,0.154,7.0,8.0,229.0,144.057,129.457,208.805,323.646,0.546,1.056,20.163,136.986,45.103,6.824,hard,stockwork_ore,mineralised_porphyry,main_fault,0.158,5655.399,327.3,363771.398,6591791.157,2.818,0.859,1417.946,149.385,170.726,22.68,7.653,170.726,201.058,10,12,14,hard_digability;coarse_fragmentation_risk,,,Production pattern sequenced to maintain southern-to-northern bench progression and stable mill feed.
17,D09,Day 9,D09,2026-06-09T06:00:00Z,2026-06-09T15:00:00Z,12,A-185-08-12,Production,Site B / Pit A,Bench RL185 / BM v3,RL185-200,Demo Phase A,Pit A PB-01,Demo external scheduler,Demo external two-week balanced feed sequence,EX-01,Fleet A,Crusher direct feed,301307.351,272459.407,28847.944,1.159,3157.314,2808.549,Cu,127,2057.4,47305.129,0.482,0.157,7.0,8.0,229.0,142.736,128.624,207.453,321.552,0.551,1.104,21.095,156.605,43.052,7.564,hard,high_grade_core,mineralised_porphyry,background,0.0,7025.68,347.685,363518.756,6591867.947,2.859,0.904,1426.327,188.317,215.22,29.391,9.855,215.22,254.466,10,22,17,hard_digability;coarse_fragmentation_risk,,,Production pattern sequenced to maintain southern-to-northern bench progression and stable mill feed.
18,D09,Day 9,D09,2026-06-09T15:00:00Z,2026-06-10T00:00:00Z,15,A-185-08-15,Production,Site B / Pit A,Bench RL185 / BM v3,RL185-200,Demo Phase A,Pit A PB-01,Demo external scheduler,Demo external two-week balanced feed sequence,EX-01,Fleet A,Crusher direct feed,235900.796,235900.796,0.0,1.391,3281.077,2981.29,Cu,93,1506.6,34473.575,0.482,0.146,7.0,8.0,229.0,142.946,128.149,206.682,320.371,0.548,1.108,21.157,164.192,42.048,7.714,hard,high_grade_core,mineralised_porphyry,background,0.0,5414.779,338.297,363632.564,6591852.682,2.904,1.0,1418.655,147.438,168.501,21.523,7.182,168.501,197.205,10,19,12,hard_digability;coarse_fragmentation_risk,,,Production pattern sequenced to maintain southern-to-northern bench progression and stable mill feed.
19,D10,Day 10,D10,2026-06-10T06:00:00Z,2026-06-10T15:00:00Z,18,A-185-08-18,Production,Site B / Pit A,Bench RL185 / BM v3,RL185-200,Demo Phase A,Pit A PB-01,Demo external scheduler,Demo external two-week balanced feed sequence,EX-01,Fleet A,Crusher direct feed,179273.063,179273.063,0.0,1.3,2330.204,2082.435,Cu,73,1182.6,27214.848,0.482,0.152,7.0,8.0,229.0,143.063,128.367,207.04,320.915,0.55,1.106,21.12,159.595,43.314,7.528,hard,high_grade_core,mineralised_porphyry,background,0.054,4136.994,319.243,363631.872,6591889.621,2.889,1.0,1431.48,112.046,128.052,16.894,5.67,128.052,150.616,10,24,15,hard_digability;coarse_fragmentation_risk,,,Production pattern sequenced to maintain southern-to-northern bench progression and stable mill feed.
20,D10,Day 10,D10,2026-06-10T15:00:00Z,2026-06-11T00:00:00Z,19,A-185-08-19,Production,Site B / Pit A,Bench RL185 / BM v3,RL185-200,Demo Phase A,Pit A PB-01,Demo external scheduler,Demo external two-week balanced feed sequence,EX-01,Fleet A,ROM pad,141629.223,141629.223,0.0,0.934,1322.694,1169.511,Cu,62,1004.4,23117.144,0.482,0.163,7.0,8.0,229.0,143.292,129.145,208.303,322.874,0.551,1.044,19.946,137.38,45.409,6.84,medium,high_grade_core,mineralised_porphyry,secondary_fault,0.0,3338.157,247.53,363734.727,6591864.399,2.828,1.0,1438.08,88.518,101.164,14.349,4.816,101.164,120.328,10,20,18,coarse_fragmentation_risk,,,Production pattern sequenced to maintain southern-to-northern bench progression and stable mill feed.
21,D11,Day 11,D11,2026-06-11T06:00:00Z,2026-06-11T15:00:00Z,21,A-185-08-21,Trim,Site B / Pit A,Bench RL185 / BM v3,RL185-200,Demo Phase A,Pit A PB-01,Demo external scheduler,Demo external two-week balanced feed sequence,EX-03,Fleet B,ROM pad,131048.867,108362.943,22685.924,0.618,670.041,355.197,Cu,61,988.2,22996.311,0.482,0.175,7.0,8.0,229.0,143.961,127.015,204.859,317.539,0.533,0.862,16.46,59.044,56.095,4.982,soft,high_grade_core,mineralised_porphyry,main_fault,1.0,3447.174,294.507,363434.806,6591708.233,2.534,0.827,1383.019,81.906,93.606,14.117,4.791,93.606,112.514,70,3,19,development_or_boundary_control;coarse_fragmentation_risk;wet_material_risk,,small_or_special_pattern,Trim/boundary pattern sequenced late to clean up edge material and maintain next-period access.
22,D11,Day 11,D11,2026-06-11T15:00:00Z,2026-06-12T00:00:00Z,22,A-185-08-22,Trim,Site B / Pit A,Bench RL185 / BM v3,RL185-200,Demo Phase A,Pit A PB-01,Demo external scheduler,Demo external two-week balanced feed sequence,EX-03,Fleet B,ROM pad,101118.961,101118.961,0.0,0.631,638.504,344.908,Cu,47,761.4,17478.826,0.482,0.173,7.0,8.0,229.0,144.432,128.281,206.906,320.702,0.538,0.866,16.534,66.26,55.659,5.226,soft,high_grade_core,mineralised_porphyry,cross_fault,1.0,2650.498,235.077,363354.709,6591771.039,2.543,1.0,1417.016,63.199,72.228,10.877,3.641,72.228,86.746,70,11,21,development_or_boundary_control;coarse_fragmentation_risk;wet_material_risk,,small_or_special_pattern,Trim/boundary pattern sequenced late to clean up edge material and maintain next-period access.
23,D12,Day 12,D12,2026-06-12T06:00:00Z,2026-06-12T15:00:00Z,23,A-185-08-23,Trim,Site B / Pit A,Bench RL185 / BM v3,RL185-200,Demo Phase A,Pit A PB-01,Demo external scheduler,Demo external two-week balanced feed sequence,EX-03,Fleet B,ROM pad,166896.44,166896.44,0.0,0.833,1389.884,777.552,Cu,75,1215.0,28130.121,0.482,0.169,7.0,8.0,229.0,143.588,126.368,203.825,315.925,0.528,0.906,17.31,83.26,54.004,5.675,soft,high_grade_core,mineralised_porphyry,cross_fault,0.902,4277.986,350.835,363391.601,6591866.07,2.601,1.0,1444.743,104.31,119.212,17.357,5.86,119.212,142.429,70,21,22,development_or_boundary_control;coarse_fragmentation_risk;wet_material_risk,,small_or_special_pattern,Trim/boundary pattern sequenced late to clean up edge material and maintain next-period access.
24,D12,Day 12,D12,2026-06-12T15:00:00Z,2026-06-13T00:00:00Z,24,A-185-08-24,Trim,Site B / Pit A,Bench RL185 / BM v3,RL185-200,Demo Phase A,Pit A PB-01,Demo external scheduler,Demo external two-week balanced feed sequence,EX-03,Fleet B,ROM pad,141997.089,110039.406,31957.682,0.662,728.479,602.243,Cu,60,972.0,22519.591,0.482,0.159,7.0,8.0,229.0,144.307,129.23,208.443,323.085,0.545,1.105,21.109,148.684,44.108,7.591,hard,stockwork_ore,late_mafic_dyke,background,0.0,3381.915,288.598,363511.874,6591914.773,2.799,0.775,1443.748,88.748,101.426,13.886,4.692,101.426,120.004,70,26,23,development_or_boundary_control;hard_digability;coarse_fragmentation_risk,,small_or_special_pattern,Trim/boundary pattern sequenced late to clean up edge material and maintain next-period access.
25,D13,Day 13,D13,2026-06-13T06:00:00Z,2026-06-13T15:00:00Z,25,A-185-08-25,Trim,Site B / Pit A,Bench RL185 / BM v3,RL185-200,Demo Phase A,Pit A PB-01,Demo external scheduler,Demo external two-week balanced feed sequence,EX-03,Fleet B,ROM pad,157919.836,149572.733,8347.104,0.781,1167.503,865.454,Cu,30,486.0,11079.048,0.482,0.07,7.0,8.0,229.0,144.04,127.56,205.737,318.877,0.537,0.98,18.722,109.379,51.457,6.055,soft,high_grade_core,fault_breccia_gouge,secondary_fault,0.579,3884.371,321.605,363633.869,6591921.417,2.71,0.947,1442.908,98.7,112.8,6.943,2.308,112.8,122.051,70,27,24,development_or_boundary_control;coarse_fragmentation_risk;wet_material_risk,,small_or_special_pattern,Trim/boundary pattern sequenced late to clean up edge material and maintain next-period access.
26,D13,Day 13,D13,2026-06-13T15:00:00Z,2026-06-14T00:00:00Z,26,A-185-08-26,Trim,Site B / Pit A,Bench RL185 / BM v3,RL185-200,Demo Phase A,Pit A PB-01,Demo external scheduler,Demo external two-week balanced feed sequence,EX-03,Fleet B,ROM pad,107604.354,107604.354,0.0,0.747,804.163,677.954,Cu,45,729.0,16723.662,0.482,0.155,7.0,8.0,229.0,144.069,128.271,206.884,320.673,0.541,0.971,18.542,108.474,49.999,5.871,medium,stockwork_ore,fault_breccia_gouge,secondary_fault,0.32,2605.627,236.816,363741.875,6591902.183,2.753,1.0,1452.377,67.253,76.86,10.414,3.484,76.86,90.759,70,25,25,development_or_boundary_control;coarse_fragmentation_risk;wet_material_risk,,small_or_special_pattern,Trim/boundary pattern sequenced late to clean up edge material and maintain next-period access.
27,D14,Day 14,D14,2026-06-14T06:00:00Z,2026-06-14T18:00:00Z,27,A-185-08-27,Trim,Site B / Pit A,Bench RL185 / BM v3,RL185-200,Demo Phase A,Pit A PB-01,Demo external scheduler,Demo external two-week balanced feed sequence,EX-03,Fleet B,ROM pad,78104.664,30181.146,47923.519,0.504,152.007,116.23,Cu,18,291.6,6743.781,0.482,0.086,7.0,8.0,229.0,143.65,127.1,205.0,317.761,0.534,1.012,19.322,108.745,48.951,5.96,medium,late_barren_intrusion,late_mafic_dyke,secondary_fault,0.444,1910.109,207.435,363809.467,6591869.052,2.726,0.386,1450.92,48.815,55.789,4.166,1.405,55.789,61.36,70,23,26,development_or_boundary_control;coarse_fragmentation_risk;wet_material_risk;domain:late_barren_intrusion,,small_or_special_pattern,Trim/boundary pattern sequenced late to clean up edge material and maintain next-period access.
