theme,driver,target,r,direction,strength,finding
Tank 1 progression,au_ppm_tk_1_s,au_ppm_tk_1_e,,Decrease,Mean delta,Dissolved Au through Tank 1: mean change across Tank 1 = -0.100. This supports the interpretation that Tank 1 start/end samples represent progression through the tank.
Tank 1 progression,ag_ppm_tk_1_s,ag_ppm_tk_1_e,,Decrease,Mean delta,Dissolved Ag through Tank 1: mean change across Tank 1 = -2.023. This supports the interpretation that Tank 1 start/end samples represent progression through the tank.
Year-on-year shift,2025 vs 2026,NaCN consumption (t/d),,Increase,Mean shift,"NaCN consumption (t/d): 2025 mean = 20.927, 2026 mean = 23.462, change = 2.535 (12.1%)."
Year-on-year shift,2025 vs 2026,Specific NaCN (kg/t),,Increase,Mean shift,"Specific NaCN (kg/t): 2025 mean = 1.814, 2026 mean = 3.755, change = 1.941 (107.0%)."
Year-on-year shift,2025 vs 2026,Free CN average (ppm),,Decrease,Mean shift,"Free CN average (ppm): 2025 mean = 513.258, 2026 mean = 294.570, change = -218.688 (-42.6%)."
Year-on-year shift,2025 vs 2026,WAD CN average (g/L),,Increase,Mean shift,"WAD CN average (g/L): 2025 mean = 5.472, 2026 mean = 10.762, change = 5.290 (96.7%)."
Year-on-year shift,2025 vs 2026,Estimated complexed CN (g/L),,Increase,Mean shift,"Estimated complexed CN (g/L): 2025 mean = 4.959, 2026 mean = 10.467, change = 5.508 (111.1%)."
Year-on-year shift,2025 vs 2026,Gold recovery (%),,Decrease,Mean shift,"Gold recovery (%): 2025 mean = 77.976, 2026 mean = 67.325, change = -10.650 (-13.7%)."
Indicative mass balance,Circuit inventory / flow assumptions,Mean residence time (h),,Magnitude check,Indicative,Mean residence time (h): 44.975
Indicative mass balance,Circuit inventory / flow assumptions,Mean NaCN input (t/d),,Magnitude check,Indicative,Mean NaCN input (t/d): 21.358
Indicative mass balance,Circuit inventory / flow assumptions,Mean 30% NaCN solution required (t/d),,Magnitude check,Indicative,Mean 30% NaCN solution required (t/d): 71.193
Indicative mass balance,Circuit inventory / flow assumptions,Mean free CN inventory (t),,Magnitude check,Indicative,Mean free CN inventory (t): 8.302
Indicative mass balance,Circuit inventory / flow assumptions,Mean WAD inventory (t),,Magnitude check,Indicative,Mean WAD inventory (t): 111.098
Indicative mass balance,Circuit inventory / flow assumptions,Mean complexed CN inventory (t),,Magnitude check,Indicative,Mean complexed CN inventory (t): 102.796
Copper-cyanide stoichiometry,Solution Cu,Complexed CN,,CN demand,Strong,Copper-cyanide stoichiometry indicates high cyanide demand from dissolved copper. Slope-based CN:Cu molar ratio ≈ 6.65:1; median pointwise CN:Cu ratio ≈ 8.20:1; CN reporting basis assumed = CN.
Free CN x DO selectivity,Free CN and DO,Recovery / Cu / WAD / NaCN,,Operating window,Exploratory,"Best exploratory selectivity window: DO bin (2.421, 3.637]; Free CN bin (446.312, 624.312]; n = 26; median Au recovery = 81.41%; median solution Cu = 776.8 ppm; median WAD CN = 3465.8 ppm; median specific NaCN = 1.028 kg/t."
Interaction model,Free CN x DO,Recovery / chemistry response,,Interaction,Model screen,"nacn_consumption_tpd: coef = -1.138, p = 0.036, R² = 0.545, n = 359"
Seasonal / residence time,Residence time / throughput,Gold recovery,,Kinetic constraint,Operating context,Median residence time ranges from 28.68 h (Spring) to 41.00 h (Winter). Temperature data was not available or not populated.
Lagged accumulation,Prior Cu / WAD / complexed CN,NaCN demand / recovery,,Lagged relationship,Exploratory,"cu_solution_ppm_avg lag 0 records vs specific_nacn_kgpt: r = 0.669, n = 359; complexed_cn_ppm_avg lag 0 records vs specific_nacn_kgpt: r = 0.652, n = 359; wad_cn_ppm_avg lag 0 records vs specific_nacn_kgpt: r = 0.641, n = 359"
